Ice-out dates for Lake Auburn, Maine
Location of Lake.—Lat. 44×08'40", long. 70×15'00".
Observers.—Auburn Water District, Union Water Power Company, FPL Energy Maine, Lewiston Sun-Journal.

YEAR	Auburn
2005	110
2004	105
2003	116
2002	94
2001	118
2000	97
1999	97
1998	98
1997	114
1996	100
1995	104
1994	113
1993	111
1992	101
1991	98
1990	104
1989	112
1988	103
1987	102
1986	104
1985	94
1984	111
1983	97
1982	118
1981	89
1980	104
1979	113
1978	118
1977	109
1976	108
1975	119
1974	100
1973	107
1972	127
1971	121
1970	117
1969	114
1968	105
1967	119
1966	110
1965	112
1964	117
1963	110
1962	113
1961	121
1960	122
1959	114
1958	107
1957	108
1956	120
1955	107
1954	109
1953	91
1952	111
1951	99
1950	114
1949	100
1948	102
1947	108
1946	101
1945	93
1944	120
1943	117
1942	108
1941	104
1940	127
1939	126
1938	109
1937	117
1936	105
1935	115
1934	113
1933	112
1932	111
1931	101
1930	104
1929	113
1928	111
1927	106
1926	122
1925	99
1924	112
1923	118
1922	107
1921	93
1920	118
1919	101
1918	114
1917	117
1916	113
1915	103
1914	114
1913	108
1912	114
1911	119
1910	95
1909	110
1908	115
1907	120
1906	114
1905	113
1904	122
1903	94
1902	94
1901	105
1900	116
1899	120
1898	108
1897	116
1896	116
1895	113
1894	114
1893	125
1892	112
1891	117
1890	116
1889	107
1888	132
1887	126
1886	114
1885	118
1884	119
1883	121
1882	122
1881	113
1880	112
1879	128
1878	105
1877	110
1876	126
1875	126
1874	134
1873	121
1872	122
1871	106
1870	114
1869	
1868	
1867	
1866	
1865	
1864	
1863	123
1862	126
1861	115
1860	115
1859	120
1858	
1857	111
1856	116
1855	125
1854	126
1853	112
1852	128
1851	111
1850	121
1849	104
1848	108
1847	130
1846	105
1845	122
1844	111
1843	126
1842	109
1841	120
1840	119
1839	108
1838	117
1837	120
1836	129
