Ice-out dates for Aziscohos Lake, Maine
Location of Lake.—Lat. 45×01'16", long. 71×00'51".
Observers.—Union Water Power Company, FPL Energy Maine.

YEAR	Aziscohos
2005	127
2004	122
2003	123
2002	117
2001	126
2000	122
1999	122
1998	113
1997	133
1996	131
1995	122
1994	131
1993	123
1992	135
1991	123
1990	124
1989	128
1988	120
1987	110
1986	116
1985	117
1984	123
1983	126
1982	130
1981	121
1980	125
1979	122
1978	136
1977	126
1976	118
1975	133
1974	135
1973	123
1972	141
1971	134
1970	136
1969	131
1968	114
1967	127
1966	137
1965	126
1964	128
1963	127
1962	129
1961	136
1960	123
1959	126
1958	127
1957	121
1956	134
1955	122
1954	128
1953	114
1952	121
1951	122
1950	128
1949	118
1948	116
1947	137
1946	122
1945	104
1944	132
1943	138
1942	125
1941	118
1940	136
1939	133
1938	120
1937	133
1936	122
1935	
1934	
1933	131
1932	129
1931	113
1930	125
1929	131
1928	135
1927	112
1926	136
1925	118
1924	130
1923	126
1922	123
1921	106
1920	131
1919	125
1918	119
1917	134
1916	129
1915	116
1914	128
1913	122
