Ice-out dates for Damariscotta Lake, Maine
Location of Lake.—Lat. 44×10'57", long. 69×28'45".
Observers and Ice-Out Definition.—Fred Jackson and family (three generations), James Birkett. Ice-out for most years thought to be observed from the northern end of the lake.
Comments.—1959, 1962-68, 1970-78, and 1997-98 were filled in from a secondary observer and adjusted by the average difference in the dates between the primary and secondary observers.

YEAR	Damariscotta
2005
2004	101
2003	107
2002	73
2001	113
2000	94
1999	81
1998	73
1997	111
1996	98
1995	95
1994	106
1993	111
1992	100
1991	96
1990	100
1989	106
1988	97
1987	101
1986	96
1985	93
1984	103
1983	85
1982	112
1981	72
1980	97
1979	97
1978	116
1977	108
1976	99
1975	111
1974	77
1973	96
1972	115
1971	118
1970	112
1969	110
1968	104
1967	121
1966	110
1965	103
1964	112
1963	114
1962	104
1961	119
1960	111
1959	109
1958	99
1957	96
1956	117
1955	101
1954	99
1953	84
1952	108
1951	92
1950	108
1949	96
1948	95
1947	101
1946	90
1945	91
1944	114
1943	112
1942	100
1941	103
1940	118
1939	121
1938	100
1937	108
1936	92
1935	112
1934	107
1933	97
1932	103
1931	101
1930	100
1929	106
1928	103
1927	 
1926	122
1925	93
1924	109
1923	115
1922	102
1921	87
1920	114
1919	95
1918	114
1917	114
1916	109
1915	91
1914	111
1913	95
1912	110
1911	118
1910	92
1909	104
1908	107
1907	120
1906	111
1905	111
1904	117
1903	85
1902	86
1901	108
1900	102
1899	115
1898	102
1897	109
1896	110
1895	111
1894	110
1893	119
1892	102
1891	108
1890	112
1889	102
1888	126
1887	124
1886	114
1885	115
1884	115
1883	118
1882	115
1881	106
1880	108
1879	120
1878	97
1877	105
1876	118
1875	122
1874	116
1873	119
1872	124
1871	86
1870	108
1869	115
1868	122
1867	113
1866	106
1865	97
1864	110
1863	114
1862	122
1861	108
1860	116
1859	100
1858	119
1857	104
1856	117
1855	105
1854	124
1853	103
1852	118
1851	106
1850	118
1849	98
1848	102
1847	123
1846	100
1845	115
1844	105
1843	121
1842	107
1841	115
1840	103
1839	105
1838	110
1837	115
