Ice-out dates for Embden Pond, Maine
Location of Lake.—Lat. 44×56'20", long. 69×57'12".
Observer.—Maine Department of Inland Fisheries and Wildlife.

YEAR	Embden Pond
2005	112
2004	110
2003	117
2002	
2001	121
2000	107
1999	104
1998	105
1997	118
1996	115
1995	112
1994	124
1993	121
1992	121
1991	115
1990	117
1989	110
1988	112
1987	105
1986	110
1985	111
1984	118
1983	108
1982	122
1981	95
1980	111
1979	110
1978	125
1977	114
1976	114
1975	124
1974	115
1973	115
1972	133
1971	128
1970	124
1969	124
1968	113
1967	122
1966	122
1965	119
1964	120
1963	114
1962	113
1961	126
1960	120
1959	119
1958	113
1957	113
1956	125
1955	111
1954	117
1953	105
1952	118
1951	109
1950	120
1949	106
1948	106
1947	116
1946	107
1945	102
1944	126
1943	128
1942	118
1941	107
1940	129
1939	129
1938	114
1937	122
1936	115
1935	117
1934	114
1933	120
1932	112
1931	100
1930	113
1929	120
1928	128
1927	108
1926	127
1925	109
