Ice-out dates for Houghtons (Hoosicwhisick) Pond, Massachusetts
Location of Lake.—Lat. 42×12'26", long. 71×05'47".
Observer.—Blue Hills Observatory.

YEAR	Houghtons
2005	92
2004	73
2003	88
2002	53
2001	94
2000	68
1999	63
1998	55
1997	54
1996	84
1995	73
1994	95
1993	98
1992	68
1991	62
1990	54
1989	76
1988	84
1987	90
1986	72
1985	65
1984	56
1983	70
1982	80
1981	53
1980	78
1979	84
1978	92
1977	83
1976	60
1975	75
1974	63
1973	66
1972	89
1971	90
1970	80
1969	95
1968	89
1967	94
1966	83
1965	76
1964	85
1963	87
1962	86
1961	91
1960	55
1959	79
1958	73
1957	71
1956	98
1955	59
1954	57
1953	58
1952	85
1951	60
1950	89
1949	64
1948	85
1947	74
1946	73
1945	79
1944	86
1943	82
1942	68
1941	95
1940	97
1939	91
1938	77
1937	77
1936	81
1935	85
1934	91
1933	86
1932	89
1931	86
1930	68
1929	80
1928	87
1927	78
1926	104
1925	71
1924	97
1923	99
1922	87
1921	72
1920	96
1919	65
1918	92
1917	96
1916	97
1915	74
1914	92
1913	73
1912	90
1911	88
1910	83
1909	76
1908	86
1907	87
1906	94
1905	92
1904	95
1903	71
1902	76
1901	84
1900	80
1899	97
1898	74
1897	83
1896	93
1895	95
1894	71
1893	91
1892	94
1891	81
1890	71
1889	71
1888	100
1887	100
1886	86
