Ice-out dates for Maranacook Lake, Maine
Location of Lake.—Lat. 44×20'03", long. 69×57'21".
Observers and Ice-Out Definition.—Community Advertiser, John Neff, Roscoe Sprague, Roger Audette. Ice-out for most years thought to be observed from southern end of lake.

YEAR	Maranacook
2005	108
2004	110
2003	114
2002	100
2001	118
2000	100
1999	99
1998	100
1997	115
1996	96
1995	100
1994	113
1993	110
1992	100
1991	97
1990	103
1989	114
1988	101
1987	102
1986	102
1985	97
1984	109
1983	92
1982	115
1981	84
1980	100
1979	107
1978	118
1977	108
1976	106
1975	118
1974	100
1973	107
1972	123
1971	123
1970	119
1969	115
1968	104
1967	118
1966	108
1965	114
1964	112
1963	111
1962	111
1961	121
1960	113
1959	111
1958	106
1957	105
1956	119
1955	105
1954	110
1953	89
1952	111
1951	97
1950	111
1949	100
1948	100
1947	109
1946	101
1945	104
1944	119
1943	116
1942	110
1941	102
1940	123
1939	124
1938	109
1937	116
1936	105
1935	107
1934	110
1933	109
1932	110
1931	101
1930	101
1929	110
1928	111
1927	120
1926	123
1925	105
