Ice-out dates for Moosehead Lake, Maine
Location of Lake.—Lat. 45×38'27", long. 69×39'57".
Observers and Ice-Out Definition.—Kennebec Water Power Company, Maine Department of Inland Fisheries and Wildlife. Ice-out definition for most years thought be date of open navigation from Greenville to Northeast Carry.

YEAR	Moosehead
2005	130
2004	122
2003	127
2002	110
2001	124
2000	121
1999	120
1998	117
1997	131
1996	126
1995	122
1994	131
1993	128
1992	134
1991	122
1990	127
1989	132
1988	124
1987	111
1986	118
1985	123
1984	127
1983	122
1982	133
1981	117
1980	123
1979	121
1978	135
1977	126
1976	122
1975	132
1974	136
1973	125
1972	143
1971	134
1970	136
1969	133
1968	116
1967	128
1966	126
1965	127
1964	128
1963	127
1962	138
1961	137
1960	127
1959	129
1958	122
1957	122
1956	136
1955	124
1954	122
1953	114
1952	121
1951	119
1950	127
1949	113
1948	125
1947	133
1946	126
1945	104
1944	135
1943	138
1942	125
1941	119
1940	138
1939	137
1938	119
1937	130
1936	123
1935	130
1934	124
1933	124
1932	126
1931	114
1930	125
1929	128
1928	133
1927	115
1926	138
1925	118
1924	130
1923	130
1922	121
1921	112
1920	135
1919	123
1918	121
1917	134
1916	125
1915	121
1914	135
1913	122
1912	129
1911	133
1910	110
1909	135
1908	132
1907	134
1906	133
1905	122
1904	131
1903	118
1902	118
1901	119
1900	131
1899	127
1898	124
1897	128
1896	129
1895	126
1894	121
1893	138
1892	125
1891	134
1890	129
1889	120
1888	143
1887	133
1886	122
1885	136
1884	129
1883	133
1882	138
1881	129
1880	127
1879	134
1878	149
1877	126
1876	144
1875	144
1874	146
1873	136
1872	132
1871	133
1870	124
1869	130
1868	139
1867	139
1866	131
1865	124
1864	127
1863	138
1862	138
1861	132
1860	132
1859	134
1858	133
1857	132
1856	130
1855	137
1854	140
1853	131
1852	138
1851	134
1850	129
1849	132
1848	121

