Ice-out dates for Portage Lake, Maine
Location of Lake.—Lat. 46×46'17", long. 68×30'04".
Observer.—Portage Lake Town Office.

YEAR	Portage
2005	127
2004	118
2003	127
2002	117
2001	125
2000	121
1999	123
1998	120
1997	126
1996	124
1995	124
1994	132
1993	123
1992	132
1991	125
1990	120
1989	125
1988	119
1987	110
1986	118
1985	126
1984	129
1983	121
1982	129
1981	121
1980	125
1979	123
1978	132
1977	132
1976	123
1975	135
1974	141
1973	127
1972	140
1971	133
1970	133
1969	131
1968	123
1967	127
1966	129
1965	124
1964	127
1963	131
1962	130
1961	135
1960	127
1959	129
1958	 
1957	122
1956	133
1955	123
1954	122
1953	125
1952	129
1951	119
1950	127
1949	124
1948	126
1947	138
1946	131
1945	104
1944	129
1943	139
1942	124
1941	122
1940	132
1939	133
1938	118
1937	133
1936	124
1935	132
1934	120
1933	127
1932	129
1931	121
1930	127
1929	130
1928	137
1927	120
1926	146
1925	130
	
