Ice-out dates for Sebec Lake, Maine
Location of Lake.—Lat. 45×16'58", long. 69×16'45".
Observers and Ice-Out Definition.—Bill Elliot, Bill Larabee, Ruth Weatherbee. Ice-out definition for most years thought be date of open navigation from one end of lake to the other.

YEAR	Sebec
2005	114
2004	112
2003	123
2002	108
2001	122
2000	111
1999	108
1998	108
1997	122
1996	117
1995	114
1994	122
1993	122
1992	128
1991	120
1990	121
1989	123
1988	115
1987	103
1986	114
1985	117
1984	119
1983	110
1982	126
1981	104
1980	115
1979	118
1978	128
1977	118
1976	119
1975	125
1974	121
1973	117
1972	135
1971	127
1970	127
1969	125
1968	119
1967	124
1966	116
1965	121
1964	122
1963	118
1962	124
1961	123
1960	123
1959	118
1958	114
1957	117
1956	127
1955	121
1954	120
1953	107
1952	115
1951	111
1950	122
1949	105
1948	121
1947	126
1946	117
1945	100
1944	126
1943	128
1942	119
1941	112
1940	131
1939	131
1938	117
1937	125
1936	119
1935	118
1934	116
1933	121
1932	118
1931	104
1930	121
1929	123
1928	129
1927	111
1926	130
1925	113
1924	120
1923	126
1922	111
1921	107
1920	129
1919	114
1918	116
1917	127
1916	116
1915	115
1914	129
1913	117
1912	125
1911	126
1910	110
1909	129
1908	126
1907	125
1906	128
1905	119
1904	 
1903	107
1902	91
1901	112
1900	121
1899	124
1898	118
1897	124
1896	125
1895	119
1894	118
1893	132
1892	121
1891	116
1890	
1889	114
1888	133
1887	118
1886	122
1885	131
1884	119
1883	124
1882	128
1881	118
1880	127
1879	128
