Ice-out dates for Squa Pan Lake, Maine
Location of Lake.—Lat. 46×33'21", long. 68×18'24".
Observers.—Maine Public Service Company, WPS New England Generation, Eric Hoar

YEAR	Squa Pan
2005	121
2004	113
2003	126
2002	
2001	124
2000	
1999	120
1998	118
1997	125
1996	120
1995	122
1994	127
1993	122
1992	130
1991	123
1990	121
1989	123
1988	117
1987	107
1986	113
1985	119
1984	122
1983	116
1982	128
1981	119
1980	123
1979	119
1978	129
1977	126
1976	120
1975	132
1974	135
1973	124
1972	138
1971	132
1970	128
1969	125
1968	116
1967	
1966	117
1965	122
1964	123
1963	126
1962	128
1961	136
1960	129
1959	128
1958	119
1957	124
1956	127
1955	120
1954	119
1953	116
1952	122
1951	115
1950	125
1949	114
1948	108
1947	132
1946	126
1945	103
1944	
1943	136
1942	
1941	121
1940	128
1939	131
1938	116
1937	123
1936	
1935	
1934	118
1933	125
1932	
1931	112
1930	126
