name,longname,lon,lat
Auburn,"Lake Auburn, Maine",-70.25,44.144444444444446
Aziscohos,"Aziscohos Lake, Maine",-71.01416666666667,45.02111111111111
China,"China Lake, Maine",-69.54555555555555,44.43388888888889
Cobbossee,"Cobbosseecontee Lake, Maine",-69.92944444444444,44.27166666666667
Damariscotta,"Damariscotta Lake, Maine",-69.47916666666667,44.1825
Eagle,"Eagle Lake, Maine",-68.58527777777778,47.04833333333333
Embden,"Embden Pond, Maine",-69.95333333333333,44.93888888888888
First.Conn,"First Connecticut Lake, New Hampshire",-71.24861111111112,45.08833333333334
Houghtons,"Houghtons (Hoosicwhisick) Pond, Massachusetts",-71.09638888888888,42.20722222222223
Kezar,"Kezar Lake, Maine",-70.90333333333334,44.18444444444444
Maranacook,"Maranacook Lake, Maine",-69.95583333333333,44.33416666666667
Messalonskee,"Messalonskee Lake, Maine",-69.79277777777777,44.47805555555556
Moosehead,"Moosehead Lake, Maine",-69.66583333333334,45.64083333333333
Mooselook,"Mooselookmeguntic Lake, Maine",-70.8111111111111,44.90694444444444
Pennessee,"Pennesseewassee (Norway) Lake, Maine",-70.5786111111111,44.226111111111116
Ponkapoag,"Ponkapoag Pond, Massachusetts",-71.09444444444443,42.19194444444444
Pontoosuc,"Pontoosuc Lake, Massachusetts",-73.24972222222222,42.495555555555555
Portage,"Portage Lake, Maine",-68.50111111111111,46.771388888888886
Rangeley,"Rangeley Lake, Maine",-70.69833333333334,44.94472222222222
Richardson,"Richardson Lake, Maine",-70.86555555555555,44.85638888888889
Sebago,"Sebago Lake, Maine",NA,NA
Sebec,"Sebec Lake, Maine",-69.27916666666667,45.282777777777774
Squa.Pan,"Squa Pan Lake, Maine",-68.30666666666666,46.55583333333333
Sunapee,"Sunapee Lake, New Hampshire",-72.05305555555556,43.395833333333336
Swan,"Swan Lake, Maine",-68.99388888888889,44.546388888888885
Thompson,"Thompson Lake, Maine",-70.48527777777778,44.066111111111105
Umbagog,"Umbagog Lake, New Hampshire",-71.02833333333334,44.80138888888889
West.Grand,"West Grand Lake, Maine",-67.81444444444445,45.21555555555556
Winnipesaukee,"Lake Winnipesaukee, New Hampshire",-71.32249999999999,43.598888888888894
