Ice-out dates for China Lake, Maine
Location of Lake.—Lat. 44×26'02", long. 69×32'44".
Observers.—The Town Line, Bill Foster, Captain James Allen, Theresa Plaisted.

YEAR	China Lake
2005	106
2004	105
2003	111
2002	96
2001	117
2000	95
1999	92
1998	99
1997	113
1996	96
1995	99
1994	110
1993	111
1992	106
1991	98
1990	101
1989	112
1988	97
1987	96
1986	98
1985	96
1984	108
1983	91
1982	112
1981	77
1980	101
1979	102
1978	111
1977	108
1976	102
1975	113
1974	92
1973	98
1972	122
1971	120
1970	113
1969	113
1968	104
1967	119
1966	108
1965	108
1964	112
1963	112
1962	110
1961	120
1960	112
1959	112
1958	106
1957	100
1956	118
1955	103
1954	109
1953	78
1952	110
1951	99
1950	104
1949	96
1948	99
1947	102
1946	
1945	92
1944	
1943	
1942	
1941	106
1940	
1939	124
1938	110
1937	110
1936	95
1935	115
1934	119
1933	110
1932	118
1931	
1930	
1929	
1928	
1927	
1926	
1925	
1924	
1923	
1922	
1921	87
1920	
1919	
1918	
1917	
1916	
1915	
1914	
1913	
1912	
1911	
1910	
1909	
1908	
1907	
1906	
1905	
1904	
1903	
1902	
1901	 
1900	
1899	
1898	
1897	
1896	
1895	
1894	
1893	
1892	
1891	
1890	
1889	
1888	
1887	
1886	
1885	
1884	
1883	119
1882	
1881	109
1880	112
1879	123
1878	102
1877	106
1876	121
1875	126
1874	112

 	
