Ice-out dates for First Connecticut Lake, New Hampshire
Location of Lake.—Lat. 45×05'18", long. 71×14'55".
Observers.—C. J. Carlson, PG&E National Energy Group, Fred T. Scott, Bob Ward.

YEAR	First Connecticut
2005	120
2004	121
2003	122
2002	116
2001	125
2000	124
1999	124
1998	108
1997	132
1996	134
1995	125
1994	129
1993	122
1992	134
1991	121
1990	122
1989	132
1988	124
1987	110
1986	115
1985	129
1984	120
1983	124
1982	133
1981	118
1980	124
1979	119
1978	136
1977	126
1976	115
1975	132
1974	135
1973	120
1972	140
1971	132
1970	127
1969	131
1968	112
1967	128
1966	134
1965	128
1964	127
1963	126
1962	132
1961	135
1960	122
1959	126
1958	116
1957	121
1956	133
1955	118
1954	122
1953	104
1952	121
1951	119
1950	127
1949	113
1948	118
1947	137
1946	126
1945	103
1944	129
1943	138
1942	123
1941	115
1940	134
1939	131
1938	118
1937	128
1936	123
1935	130
1934	118
1933	127
1932	130
1931	105
1930	126
1929	129
1928	131
1927	113
1926	127
1925	113
1924	128
1923	127
1922	123
1921	99
1920	128

 	
