Ice-out dates for Kezar Lake, Maine
Location of Lake.—Lat. 44×11'04", long. 70×54'12".
Observers.—Lovell Town Office, Advertiser Democrat, Arthur P. Stone, Fred Mitchell.

YEAR	Kezar
2005	108
2004	110
2003	116
2002	100
2001	117
2000	104
1999	103
1998	114
1997	107
1996	111
1995	114
1994	118
1993	118
1992	116
1991	101
1990	113
1989	118
1988	108
1987	103
1986	107
1985	107
1984	112
1983	104
1982	120
1981	97
1980	111
1979	116
1978	122
1977	110
1976	110
1975	121
1974	116
1973	109
1972	124
1971	122
1970	123
1969	119
1968	107
1967	118
1966	113
1965	118
1964	119
1963	113
1962	114
1961	121
1960	115
1959	113
1958	110
1957	107
1956	122
1955	112
1954	112
1953	104
1952	114
1951	110
1950	117
1949	102
1948	105
1947	114
1946	100
1945	99
1944	123
1943	122
1942	114
1941	104
1940	126
1939	126
1938	110
1937	122
1936	113
1935	115
1934	114
1933	119
1932	119
1931	103
1930	104
1929	115
1928	126
1927	106
1926	123
1925	105
1924	113
1923	115
1922	107
1921	93
1920	120
1919	100
1918	113
1917	118
1916	113
1915	107
1914	116
1913	109
1912	116
1911	121
1910	97
1909	117
1908	120
1907	120
1906	98
1905	112
1904	123
1903	109
1902	103
1901	110
