Ice-out dates for Mooselookmeguntic Lake, Maine
Location of Lake.—Lat. 44×54'25", long. 70×48'40".
Observers.—Union Water Power Company, FPL Energy Maine.

YEAR	Mooselucmeguntic
2005	
2004	124
2003	124
2002	112
2001	125
2000	121
1999	123
1998	112
1997	131
1996	131
1995	125
1994	130
1993	123
1992	134
1991	121
1990	125
1989	130
1988	124
1987	111
1986	116
1985	128
1984	123
1983	127
1982	134
1981	119
1980	124
1979	122
1978	136
1977	125
1976	120
1975	133
1974	135
1973	124
1972	143
1971	133
1970	136
1969	132
1968	114
1967	129
1966	136
1965	127
1964	127
1963	125
1962	131
1961	135
1960	126
1959	127
1958	122
1957	120
1956	135
1955	120
1954	127
1953	113
1952	123
1951	122
1950	128
1949	118
1948	122
1947	134
1946	121
1945	104
1944	131
1943	140
1942	125
1941	117
1940	138
1939	135
1938	118
1937	133
1936	125
1935	
1934	
1933	127
1932	127
1931	116
1930	126
1929	128
1928	134
1927	117
1926	136
1925	118
1924	132
1923	129
1922	125
1921	105
1920	139
1919	123
1918	124
1917	137
1916	129
1915	119
1914	135
1913	124
1912	127
1911	130
1910	108
1909	
1908	
1907	
1906	133
1905	
1904	
1903	
1902	
1901	
1900	
1899	128
1898	124
1897	133
1896	
1895	
1894	
1893	141
1892	127
1891	130
1890	131
1889	
1888	
1887	
1886	
1885	130
1884	132
