Ice-out dates for Pennesseewassee (Norway) Lake, Maine
Location of Lake.—Lat. 44×13'34", long. 70×34'43".
Observer.—Woodman's Sporting Goods, Advertiser Democrat.

YEAR	Pennessew
2005	109
2004	110
2003	113
2002	100
2001	121
2000	
1999	113
1998	110
1997	117
1996	
1995	102
1994	116
1993	112
1992	113
1991	101
1990	101
1989	116
1988	101
1987	107
1986	107
1985	102
1984	112
1983	99
1982	120
1981	91
1980	104
1979	116
1978	123
1977	109
1976	109
1975	121
1974	111
1973	112
1972	126
1971	123
1970	121
1969	117
1968	105
1967	118
1966	113
1965	114
1964	118
1963	111
1962	113
1961	120
1960	116
1959	114
1958	109
1957	107
1956	123
1955	110
1954	113
1953	100
1952	111
1951	105
1950	117
1949	101
1948	101
1947	113
1946	100
1945	99
1944	123
1943	118
1942	111
1941	125
1940	128
1939	127
1938	110
1937	121
1936	112
1935	115
1934	113
1933	118
1932	112
1931	102
1930	104
1929	116
1928	118
1927	106
1926	123
1925	104
1924	112
1923	119
1922	109
1921	98
1920	124
1919	104
1918	114
1917	118
1916	112
1915	105
1914	116
1913	113
1912	116
1911	119
1910	96
1909	117
1908	117
1907	120
1906	116
1905	112
1904	124
1903	101
1902	106
1901	111
1900	119
1899	119
1898	108
1897	117
1896	118
1895	111
1894	114
1893	128
1892	109
1891	118
1890	116
1889	106
1888	131
1887	126
1886	114
1885	122
1884	117
1883	122
1882	121
1881	119
1880	113
1879	127
1878	102
1877	112
1876	132
1875	126
1874	133

