Ice-out dates for Ponkapoag Pond, Massachusetts
Location of Lake.—Lat. 42×11'31", long. 71×05'40".
Observer.—Blue Hills Observatory.

YEAR	Ponkapoag
2005	92
2004	66
2003	85
2002	50
2001	84
2000	63
1999	36
1998	43
1997	51
1996	57
1995	68
1994	93
1993	94
1992	58
1991	52
1990	41
1989	54
1988	70
1987	89
1986	66
1985	59
1984	52
1983	67
1982	74
1981	52
1980	71
1979	82
1978	92
1977	75
1976	60
1975	75
1974	63
1973	66
1972	83
1971	87
1970	76
1969	93
1968	86
1967	94
1966	80
1965	72
1964	77
1963	86
1962	84
1961	88
1960	54
1959	50
1958	69
1957	58
1956	72
1955	57
1954	53
1953	32
1952	85
1951	54
1950	83
1949	59
1948	84
1947	73
1946	68
1945	79
1944	86
1943	80
1942	68
1941	92
1940	97
1939	88
1938	77
1937	77
1936	80
1935	83
1934	88
1933	82
1932	89
1931	84
1930	67
1929	79
1928	85
1927	76
1926	100
1925	69
1924	96
1923	99
1922	85
1921	69
1920	94
1919	65
1918	91
1917	92
1916	96
1915	71
1914	90
1913	73
1912	82
1911	87
1910	81
1909	76
1908	77
1907	86
1906	90
1905	90
1904	94
1903	70
1902	73
1901	82
1900	79
1899	90
1898	73
1897	82
1896	93
1895	86
1894	71
1893	91
1892	93
1891	72
1890	71
1889	71
1888	89
1887	83
1886	86
