Ice-out dates for Pontoosuc Lake, Massachusetts
Location of Lake.—Lat. 42×29'44", long. 73×14'59".
Observer.—Berkshire Eagle.

YEAR	Pontoosuc
2005
2004
2003	
2002	
2001	
2000	
1999	
1998	90
1997	99
1996	102
1995	85
1994	108
1993	107
1992	102
1991	86
1990	93
1989	88
1988	100
1987	95
1986	94
1985	92
1984	105
1983	92
1982	112
1981	92
1980	98
1979	111
1978	109
1977	104
1976	94
1975	112
1974	95
1973	90
1972	118
1971	115
1970	114
1969	106
1968	97
1967	110
1966	109
1965	108
1964	108
1963	106
1962	102
1961	111
1960	107
1959	108
1958	105
1957	90
1956	120
1955	105
1954	87
1953	86
1952	102
1951	100
1950	99
1949	87
1948	92
1947	104
1946	86
1945	89
1944	110
1943	116
1942	98
1941	105
1940	121
1939	113
1938	87
1937	105
1936	92
1935	100
1934	108
1933	107
1932	112
1931	100
1930	93
1929	97
1928	98
1927	98
1926	114
1925	92
