Ice-out dates for Rangeley Lake, Maine
Location of Lake.—Lat. 44×56'41", long. 70×41'54".
Observers.—Union Water Power Company, FPL Energy Maine.

YEAR	Rangeley
2005	127
2004	124
2003	126
2002	115
2001	126
2000	121
1999	123
1998	113
1997	133
1996	130
1995	125
1994	128
1993	122
1992	133
1991	121
1990	125
1989	131
1988	126
1987	111
1986	117
1985	130
1984	125
1983	126
1982	133
1981	120
1980	126
1979	121
1978	137
1977	127
1976	119
1975	132
1974	135
1973	124
1972	144
1971	135
1970	135
1969	132
1968	116
1967	130
1966	137
1965	129
1964	127
1963	127
1962	137
1961	135
1960	125
1959	128
1958	127
1957	121
1956	136
1955	120
1954	126
1953	114
1952	123
1951	122
1950	128
1949	114
1948	122
1947	133
1946	122
1945	104
1944	132
1943	140
1942	125
1941	116
1940	140
1939	134
1938	119
1937	131
1936	125
1935	131
1934	125
1933	127
1932	127
1931	116
1930	126
1929	130
1928	134
1927	119
1926	138
1925	119
1924	131
1923	129
1922	124
1921	104
1920	140
1919	123
1918	123
1917	137
1916	129
1915	119
1914	141
1913	124
1912	130
1911	131
1910	109
1909	132
1908	131
1907	139
1906	133
1905	125
1904	135
1903	117
1902	118
1901	124
1900	136
1899	128
1898	125
1897	133
1896	131
1895	127
1894	122
1893	137
1892	130
1891	134
1890	129
1889	120
1888	142
1887	137
1886	124
1885	136
1884	134
1883	136
1882	144
1881	136
1880	134
