Ice-out dates for Richardson Lake, Maine
Location of Lake.—Lat. 44×51'23", long. 70×51'56".
Observers.—Union Water Power Company, FPL Energy Maine.

YEAR	Richardson
2005	125
2004	123
2003	123
2002	112
2001	125
2000	121
1999	122
1998	109
1997	128
1996	129
1995	126
1994	129
1993	122
1992	134
1991	121
1990	125
1989	131
1988	120
1987	110
1986	115
1985	127
1984	123
1983	126
1982	131
1981	117
1980	124
1979	119
1978	136
1977	125
1976	116
1975	130
1974	133
1973	124
1972	141
1971	132
1970	134
1969	130
1968	114
1967	129
1966	129
1965	127
1964	127
1963	125
1962	129
1961	135
1960	122
1959	125
1958	122
1957	121
1956	135
1955	119
1954	122
1953	112
1952	121
1951	123
1950	127
1949	117
1948	117
1947	133
1946	122
1945	104
1944	130
1943	139
1942	123
1941	116
1940	
1939	134
1938	
1937	133
1936	124
1935	131
1934	124
1933	127
1932	125
1931	114
1930	125
1929	129
1928	132
1927	112
1926	135
1925	118
1924	129
1923	127
1922	124
1921	105
1920	138
1919	123
1918	120
1917	137
1916	129
1915	118
1914	136
1913	123
1912	128
1911	130
1910	107
1909	131
1908	128
1907	137
1906	136
1905	123
1904	130
1903	117
1902	113
1901	121
1900	130
1899	128
1898	121
1897	132
1896	130
1895	125
1894	121
1893	141
1892	127
1891	126
1890	131
1889	119
1888	144
1887	132
1886	122
1885	133
1884	133
1883	134
1882	141
1881	135
1880	129
