Ice-out dates for Sebago Lake, Maine
[NCIC, no complete ice cover]
Location of Lake.—Lat. 43×52'15", long. 70×34'01".
Observers and Ice-Out Definition.—Maine Sunday Telegram, Carroll Cutting, Portland Press Herald. Ice-out thought to be observed on Big Bay for many years.

YEAR	Sebago
2005	107
2004	100
2003	114
2002	NCIC
2001	114
2000	89
1999	NCIC
1998	NCIC
1997	104
1996	95
1995	77
1994	110
1993	109
1992	87
1991	NCIC
1990	95
1989	100
1988	92
1987	88
1986	90
1985	73
1984	107
1983	76
1982	111
1981	76
1980	102
1979	85
1978	104
1977	94
1976	94
1975	88
1974	101
1973	100
1972	122
1971	122
1970	113
1969	111
1968	99
1967	100
1966	92
1965	104
1964	107
1963	105
1962	100
1961	NCIC
1960	
1959	96
1958	96
1957	99
1956	97
1955	
1954	103
1953	NCIC
1952	106
1951	NCIC
1950	107
1949	NCIC
1948	94
1947	NCIC
1946	85
1945	91
1944	115
1943	107
1942	98
1941	102
1940	124
1939	113
1938	92
1937	NCIC
1936	87
1935	107
1934	110
1933	100
1932	73
1931	102
1930	97
1929	100
1928	99
1927	105
1926	120
1925	94
1924	107
1923	112
1922	104
1921	87
1920	114
1919	91
1918	116
1917	114
1916	109
1915	102
1914	110
1913	99
1912	114
1911	119
1910	93
1909	105
1908	116
1907	120
1906	112
1905	115
1904	114
1903	87
1902	89
1901	105
1900	116
1899	117
1898	103
1897	112
1896	112
1895	111
1894	109
1893	124
1892	102
1891	113
1890	114
1889	102
1888	129
1887	121
1886	115
1885	116
1884	117
1883	119
1882	109
1881	114
1880	104
1879	125
1878	102
1877	113
1876	122
1875	126
1874	127
1873	121
1872	125
1871	95
1870	
1869	
1868	
1867	116
1866	108
1865	
1864	
1863	118
1862	119
1861	
1860	
1859	
1858	106
1857	104
1856	118
1855	117
1854	
1853	110
1852	125
1851	110
1850	
1849	119
1848	
1847	
1846	104
1845	114
1844	108
1843	122
1842	110
1841	119
1840	110
1839	
1838	
1837	121
1836	
1835	
1834	104
1833	
1832	
1831	
1830	
1829	
1828	
1827	
1826	108
1825	106
1824	108
1823	113
1822	102
1821	119
1820	116
1819	119
1818	
1817	
1816	121
1815	
1814	
1813	
1812	122
1811	
1810	
1809	
1808	
1807	127
 	
