Ice-out dates for Thompson Lake, Maine
Location of Lake.—Lat. 44×03'58", long. 70×29'07".
Observers.—Joseph M. Trebilcook, Richard Greenleaf, Thompson Lake Environmental Association,  www.mainelakecharts.com.

YEAR	Thompson
2005
2004
2003	112
2002	
2001	
2000	99
1999	96
1998	99
1997	113
1996	106
1995	104
1994	114
1993	113
1992	101
1991	99
1990	105
1989	118
1988	102
1987	100
1986	102
1985	101
1984	112
1983	100
1982	118
1981	88
1980	103
1979	104
1978	121
1977	109
1976	107
1975	103
1974	106
1973	110
1972	127
1971	123
1970	118
1969	110
1968	107
1967	118
1966	112
1965	119
1964	118
1963	110
1962	113
1961	121
1960	116
1959	113
1958	109
1957	107
1956	123
1955	107
1954	110
1953	96
1952	111
1951	100
1950	114
1949	100
1948	100
1947	106
1946	96
1945	93
1944	120
1943	116
1942	108
1941	105
1940	128
1939	126
1938	107
1937	117
1936	104
1935	113
1934	113
1933	114
1932	112
1931	102
1930	114
1929	113
1928	112
1927	107
1926	123
1925	100
1924	110
1923	114
1922	107
1921	93
1920	116
1919	102
1918	114
1917	118
1916	110
1915	105
1914	113
1913	108
1912	94
1911	118
1910	95
1909	110
1908	116
1907	120
1906	113
1905	113
1904	121
1903	94
1902	107
