Ice-out dates for Umbagog Lake, New Hampshire/Maine
Location of Lake.—Lat. 44×48'05", long. 71×01'42".
Observers.—Union Water Power Company, FPL Energy Maine.

YEAR	Umbagog
2005	116
2004	120
2003	121
2002	110
2001	123
2000	113
1999	119
1998	109
1997	123
1996	125
1995	116
1994	125
1993	121
1992	130
1991	118
1990	118
1989	126
1988	115
1987	108
1986	110
1985	121
1984	121
1983	122
1982	127
1981	111
1980	117
1979	117
1978	132
1977	118
1976	113
1975	129
1974	130
1973	117
1972	135
1971	129
1970	130
1969	126
1968	110
1967	122
1966	123
1965	124
1964	123
1963	119
1962	122
1961	130
1960	119
1959	117
1958	122
1957	115
1956	128
1955	114
1954	122
1953	114
1952	118
1951	118
1950	126
1949	112
1948	115
1947	128
1946	116
1945	103
1944	126
1943	131
1942	121
1941	109
1940	131
1939	131
1938	117
1937	129
1936	121
1935	125
1934	116
1933	125
1932	121
1931	111
1930	122
1929	121
1928	130
1927	110
1926	129
1925	116
1924	124
1923	123
1922	117
1921	100
1920	129
1919	121
1918	118
1917	130
1916	125
1915	116
1914	130
1913	120
1912	124
1911	126
1910	100
1909	134
1908	122
1907	131
1906	131
1905	119
1904	114
1903	106
1902	112
1901	119
1900	
1899	128
1898	
1897	
1896	123
1895	
1894	
1893	141
1892	
1891	
1890	131
1889	119
1888	144
1887	
1886	
1885	
1884	
1883	134
1882	141
1881	135
1880	129
