Ice-out dates for West Grand Lake, Maine
Location of Lake.—Lat. 45×12'56", long. 67×48'52".
Observers.—Marion Staples and family (three generations).

YEAR	West Grand
2005	114
2004	115
2003	126
2002	103
2001	125
2000	100
1999	97
1998	107
1997	118
1996	115
1995	118
1994	122
1993	117
1992	124
1991	118
1990	117
1989	126
1988	111
1987	112
1986	113
1985	113
1984	121
1983	104
1982	124
1981	100
1980	109
1979	113
1978	127
1977	122
1976	111
1975	124
1974	112
1973	117
1972	135
1971	123
1970	121
1969	124
1968	112
1967	125
1966	115
1965	122
1964	124
1963	124
1962	119
1961	132
1960	122
1959	124
1958	115
1957	119
1956	126
1955	115
1954	118
1953	98
1952	120
1951	103
1950	120
1949	106
1948	116
1947	114
1946	117
1945	103
1944	123
1943	121
1942	120
1941	117
1940	129
1939	131
1938	115
1937	119
1936	107
1935	125
1934	115
1933	119
1932	116
1931	111
1930	117
1929	120
1928	124
1927	113
1926	134
1925	104
1924	128
1923	126
1922	108
1921	100
1920	125
1919	119
1918	139
1917	124
1916	118
1915	110
1914	130
1913	110
1912	128
1911	123
1910	100
1909	126
1908	121
1907	125
1906	125
1905	118
1904	126
1903	110
1902	98
1901	115
1900	119
1899	117
1898	117
1897	124
1896	120
1895	122
1894	120
1893	129
1892	121
1891	124
1890	128
1889	116
1888	138
1887	131
1886	123
1885	125
1884	121
1883	129
1882	126
1881	123
1880	123
1879	130
1878	116
