Ice-out dates for Lake Winnipesaukee, New Hampshire
Location of Lake.—Lat. 43×35'56", long. 71×19'21".
Observers and Ice-Out Definition.—New Hampshire Office of Vacation Travel, Harry Daniel, Arthur Marshall, Bob Aldrich, The Lakes Region Association, The Classic Journey Company, www.nhboat.com. Ice-out definition for most years thought be date of open navigation for the Mount Washington on its regular route, except for Meredith Bay.

YEAR	Winnipesaukee
2005	110
2004	111
2003	115
2002	95
2001	122
2000	101
1999	98
1998	97
1997	114
1996	108
1995	105
1994	113
1993	112
1992	112
1991	98
1990	112
1989	115
1988	107
1987	102
1986	106
1985	104
1984	111
1983	100
1982	119
1981	95
1980	108
1979	116
1978	117
1977	113
1976	107
1975	115
1974	106
1973	106
1972	123
1971	126
1970	118
1969	115
1968	106
1967	110
1966	110
1965	112
1964	119
1963	110
1962	114
1961	117
1960	110
1959	116
1958	103
1957	93
1956	126
1955	109
1954	106
1953	93
1952	111
1951	104
1950	110
1949	108
1948	101
1947	114
1946	89
1945	91
1944	124
1943	120
1942	108
1941	106
1940	125
1939	124
1938	107
1937	115
1936	99
1935	111
1934	111
1933	115
1932	111
1931	101
1930	97
1929	108
1928	110
1927	103
1926	122
1925	100
1924	109
1923	114
1922	107
1921	87
1920	115
1919	104
1918	114
1917	118
1916	107
1915	114
1914	105
1913	107
1912	114
1911	122
1910	96
1909	109
1908	112
1907	119
1906	116
1905	114
1904	120
1903	92
1902	94
1901	110
1900	116
1899	122
1898	104
1897	113
1896	114
1895	116
1894	110
1893	130
1892	102
1891	113
1890	114
1889	104
1888	133
1887	127
