name,longname,lon,lat
Auburn,"Lake Auburn, Maine",-69.75,44.144444444444446
Aziscohos,"Aziscohos Lake, Maine",-70.98583333333333,45.02111111111111
China,"China Lake, Maine",-68.45444444444445,44.43388888888889
Cobbossee,"Cobbosseecontee Lake, Maine",-68.07055555555556,44.27166666666667
Damariscotta,"Damariscotta Lake, Maine",-68.52083333333333,44.1825
Eagle,"Eagle Lake, Maine",-67.41472222222222,47.04833333333333
Embden,"Embden Pond, Maine",-68.04666666666667,44.93888888888888
First.Conn,"First Connecticut Lake, New Hampshire",-70.75138888888888,45.08833333333334
Houghtons,"Houghtons (Hoosicwhisick) Pond, Massachusetts",-70.90361111111112,42.20722222222223
Kezar,"Kezar Lake, Maine",-69.09666666666666,44.18444444444444
Maranacook,"Maranacook Lake, Maine",-68.04416666666667,44.33416666666667
Messalonskee,"Messalonskee Lake, Maine",-68.20722222222223,44.47805555555556
Moosehead,"Moosehead Lake, Maine",-68.33416666666666,45.64083333333333
Mooselook,"Mooselookmeguntic Lake, Maine",-69.1888888888889,44.90694444444444
Pennessee,"Pennesseewassee (Norway) Lake, Maine",-69.4213888888889,44.226111111111116
Ponkapoag,"Ponkapoag Pond, Massachusetts",-70.90555555555557,42.19194444444444
Pontoosuc,"Pontoosuc Lake, Massachusetts",-72.75027777777778,42.495555555555555
Portage,"Portage Lake, Maine",-67.49888888888889,46.771388888888886
Rangeley,"Rangeley Lake, Maine",-69.30166666666666,44.94472222222222
Richardson,"Richardson Lake, Maine",-69.13444444444445,44.85638888888889
Sebago,"Sebago Lake, Maine",NA,NA
Sebec,"Sebec Lake, Maine",-68.72083333333333,45.282777777777774
Squa.Pan,"Squa Pan Lake, Maine",-67.69333333333334,46.55583333333333
Sunapee,"Sunapee Lake, New Hampshire",-71.94694444444444,43.395833333333336
Swan,"Swan Lake, Maine",-67.00611111111111,44.546388888888885
Thompson,"Thompson Lake, Maine",-69.51472222222222,44.066111111111105
Umbagog,"Umbagog Lake, New Hampshire",-70.97166666666666,44.80138888888889
West.Grand,"West Grand Lake, Maine",-66.18555555555555,45.21555555555556
Winnipesaukee,"Lake Winnipesaukee, New Hampshire",-70.67750000000001,43.598888888888894
