Ice-out dates for Cobbosseecontee Lake, Maine
Location of Lake.—Lat. 44×16'18", long. 69×55'46".
Observers.—Sara Farr, Mary Oatway, Bill Schenck.
Comments.—1974 and 1994 were filled in from a secondary observer and adjusted by the average difference in the dates between the primary and secondary observers.

YEAR	Cobbosseecontee
2005	107
2004	104
2003	113
2002	94
2001	118
2000	94
1999	94
1998	95
1997	113
1996	98
1995	99
1994	114
1993	111
1992	100
1991	97
1990	104
1989	113
1988	102
1987	101
1986	101
1985	95
1984	107
1983	100
1982	112
1981	75
1980	100
1979	107
1978	117
1977	111
1976	107
1975	115
1974	96
1973	107
1972	120
1971	120
1970	120
1969	114
1968	104
1967	119
1966	109
1965	109
1964	112
1963	111
1962	112
1961	120
1960	115
1959	112
1958	106
1957	103
1956	119
1955	106
1954	109
1953	87
1952	111
1951	96
1950	111
1949	101
1948	100
1947	104
1946	97
1945	93
1944	119
1943	116
1942	103
1941	102
1940	123
1939	124
1938	108
1937	113
1936	103
1935	115
1934	112
1933	109
1932	111
1931	102
1930	103
1929	111
1928	111
1927	106
1926	123
1925	96
1924	110
1923	116
1922	105
1921	91
1920	119
1919	100
1918	118
1917	116
1916	113
1915	104
1914	116
1913	107
1912	115
1911	118
1910	94
1909	109
1908	112
1907	121
1906	114
1905	111
1904	119
1903	95
1902	92
1901	110
1900	114
1899	119
1898	106
1897	114
1896	113
1895	111
1894	114
1893	124
1892	109
1891	118
1890	116
1889	105
1888	130
1887	127
1886	110
1885	119
1884	117
1883	121
1882	118
1881	111
1880	113
1879	125
1878	104
1877	108
1876	122
1875	122
1874	124
1873	122
1872	124
1871	99
1870	114
1869	119
1868	122
1867	117
1866	108
1865	103
1864	114
1863	122
1862	126
1861	115
1860	114
1859	120
1858	108
1857	107
1856	117
1855	115
1854	128
1853	110
1852	124
1851	111
1850	121
1849	
1848	
1847	128
1846	107
1845	122
1844	113
1843	125
1842	106
1841	118
1840	106
