Ice-out dates for Eagle Lake, Maine
Location of Lake.—Lat. 47×02'54", long. 68×35'07".
Observers.—Maine Department of Inland Fisheries and Wildlife, Derwood Humphrey, S. C. Michaud, John M. Caron.

YEAR	Eagle
2005	130
2004	123
2003	132
2002	122
2001	127
2000	125
1999	124
1998	121
1997	125
1996	
1995	125
1994	
1993	124
1992	134
1991	
1990	122
1989	125
1988	123
1987	109
1986	120
1985	128
1984	129
1983	125
1982	134
1981	122
1980	128
1979	124
1978	134
1977	131
1976	124
1975	135
1974	143
1973	129
1972	141
1971	138
1970	130
1969	134
1968	
1967	
1966	
1965	
1964	
1963	
1962	
1961	
1960	
1959	128
1958	115
1957	128
1956	133
1955	124
1954	123
1953	126
1952	128
1951	117
1950	128
1949	123
1948	127
1947	140
1946	133
1945	104
1944	133
1943	138
1942	124
1941	128
1940	134
1939	132
1938	119
1937	127
1936	123
1935	126
1934	122
1933	128
1932	127
1931	114
1930	127
1929	127
1928	129
1927	122
1926	138
1925	124
1924	134
1923	128
1922	115

