Ice-out dates for Messalonskee Lake, Maine
Location of Lake.—Lat. 44×28'41", long. 69×47'34".
Observers.—Central Maine Morning Sentinel, Joyce Rushton, www.geocities.com., www.mainelakecharts.com.

YEAR	Messalonskee
2005	111
2004	110
2003	117
2002	100
2001	120
2000	99
1999	99
1998	100
1997	116
1996	108
1995	106
1994	116
1993	113
1992	113
1991	105
1990	109
1989	116
1988	101
1987	102
1986	
1985	90
1984	
1983	
1982	
1981	
1980	
1979	
1978	
1977	
1976	
1975	
1974	
1973	
1972	
1971	
1970	
1969	
1968	
1967	
1966	
1965	
1964	
1963	
1962	113
1961	123
1960	119
1959	114
1958	108
1957	108
1956	122
1955	108
1954	113
1953	100
1952	114
1951	110
1950	113
1949	102
1948	107
1947	110
1946	105
1945	 
1944	119
1943	119
1942	112
1941	106
1940	128
1939	127
1938	110
1937	117
1936	107
1935	116
1934	114
1933	115
1932	113
1931	105
1930	113
1929	115
1928	120
1927	106
1926	123
1925	100
1924	111
1923	115
1922	105
1921	97
1920	121
1919	103
1918	114
1917	118
1916	 
1915	105
1914	120
1913	110
1912	115
1911	120
1910	95
1909	114
	
