Ice-out dates for Sunapee Lake, New Hampshire
Location of Lake.—Lat. 43×23'45", long. 72×03'11".
Observer.—Argus Champion.

YEAR	Sunapee
2005	109
2004	109
2003	117
2002	102
2001	123
2000	100
1999	103
1998	103
1997	114
1996	117
1995	104
1994	110
1993	112
1992	114
1991	98
1990	106
1989	111
1988	107
1987	103
1986	105
1985	106
1984	112
1983	106
1982	118
1981	99
1980	111
1979	118
1978	121
1977	109
1976	107
1975	125
1974	110
1973	109
1972	127
1971	125
1970	121
1969	116
1968	105
1967	118
1966	116
1965	118
1964	119
1963	110
1962	116
1961	123
1960	115
1959	116
1958	114
1957	110
1956	127
1955	112
1954	106
1953	99
1952	111
1951	110
1950	116
1949	96
1948	99
1947	117
1946	88
1945	91
1944	122
1943	123
1942	109
1941	108
1940	128
1939	127
1938	108
1937	122
1936	105
1935	115
1934	114
1933	120
1932	117
1931	106
1930	107
1929	104
1928	121
1927	110
1926	124
1925	116
1924	110
1923	117
1922	96
1921	88
1920	120
1919	104
1918	116
1917	127
1916	122
1915	110
1914	121
1913	107
1912	117
1911	122
1910	96
1909	112
1908	117
1907	121
1906	119
1905	115
1904	122
1903	95
1902	102
1901	114
1900	120
1899	123
1898	108
1897	119
1896	119
1895	120
1894	109
1893	133
1892	107
1891	114
1890	116
1889	110
1888	135
1887	127
1886	114
1885	120
1884	123
1883	127
1882	119
1881	126
1880	111
1879	132
1878	108
1877	115
1876	132
1875	132
1874	129
1873	126
1872	124
1871	102
1870	130
1869	130
