Ice-out dates for Swan Lake, Maine
Location of Lake.—Lat. 44×32'47", long. 68×59'38".
Observer.—The Republican Journal, Duncan Brown.

YEAR	Swan
2005	107
2004	110
2003	117
2002	99
2001	124
2000	97
1999	89
1998	94
1997	113
1996	105
1995	104
1994	108
1993	114
1992	111
1991	99
1990	101
1989	110
1988	100
1987	106
1986	99
1985	97
1984	110
1983	97
1982	107
1981	88
1980	103
1979	95
1978	116
1977	109
1976	103
1975	116
1974	100
1973	106
1972	122
1971	121
1970	115
1969	115
1968	107
1967	121
1966	110
1965	111
1964	116
1963	112
1962	112
1961	123
1960	112
1959	112
1958	109
1957	104
1956	120
1955	106
1954	110
1953	86
1952	108
1951	96
1950	111
1949	99
1948	102
1947	102
1946	101
1945	93
1944	119
1943	114
1942	112
1941	108
1940	122
1939	127
1938	106
1937	106
1936	98
1935	116
1934	114
1933	108
1932	108
1931	103
1930	104
1929	111
1928	112
1927	107
1926	123
1925	94
1924	109
1923	119
1922	104
1921	88
1920	117
1919	98
1918	116
1917	118
1916	113
1915	101
1914	119
1913	99
1912	115
1911	120
1910	92
1909	108
1908	115
1907	120
1906	114
1905	110
1904	122
1903	92
1902	90
1901	112
1900	109
1899	117
1898	109
1897	115
1896	110
1895	112
1894	113
1893	124
1892	114
1891	109
